Date,Manufacturing Employment,Total Nonfarm Payrolls,Unemployment Rate,Manufacturing Share (%)
2000-01-01,17284.0,131011.0,4.0,13.192785338635687
2000-02-01,17284.0,131121.0,4.1,13.181717650109439
2000-03-01,17302.0,131604.0,4.0,13.147016807999757
2000-04-01,17299.0,131883.0,3.8,13.116929399543533
2000-05-01,17278.0,132105.0,4.0,13.078990197191628
2000-06-01,17295.0,132062.0,4.0,13.09612151868062
2000-07-01,17322.0,132228.0,4.0,13.10009982757056
2000-08-01,17287.0,132234.0,4.1,13.073037191645115
2000-09-01,17229.0,132338.0,3.9,13.018936359926853
2000-10-01,17217.0,132352.0,3.9,13.008492504835589
2000-11-01,17202.0,132556.0,3.9,12.977156824285585
2000-12-01,17181.0,132716.0,3.9,12.94568853793062
2001-01-01,17105.0,132703.0,4.2,12.889685990520183
2001-02-01,17030.0,132788.0,4.2,12.824954062114047
2001-03-01,16938.0,132751.0,4.3,12.759225919202116
2001-04-01,16802.0,132457.0,4.4,12.684871316729202
2001-05-01,16660.0,132409.0,4.3,12.582226283711831
2001-06-01,16513.0,132299.0,4.5,12.481575824458236
2001-07-01,16381.0,132171.0,4.6,12.39379288951434
2001-08-01,16233.0,132021.0,4.9,12.295771127320654
2001-09-01,16116.0,131763.0,5.0,12.231051205573644
2001-10-01,15973.0,131452.0,5.3,12.151203481118584
2001-11-01,15825.0,131144.0,5.5,12.066888305984262
2001-12-01,15712.0,130983.0,5.7,11.995449791194277
2002-01-01,15588.0,130859.0,5.7,11.912058016643869
2002-02-01,15518.0,130736.0,5.7,11.869722188226655
2002-03-01,15443.0,130722.0,5.7,11.813619742659997
2002-04-01,15392.0,130615.0,5.9,11.784251425946483
2002-05-01,15338.0,130632.0,5.8,11.741380366219609
2002-06-01,15297.0,130673.0,5.8,11.706320356921477
2002-07-01,15256.0,130583.0,5.8,11.682990894680012
2002-08-01,15171.0,130582.0,5.7,11.61798716515293
2002-09-01,15119.0,130503.0,5.7,11.585174287181138
2002-10-01,15059.0,130617.0,5.7,11.52912714271496
2002-11-01,14992.0,130616.0,5.9,11.477920009799718
2002-12-01,14911.0,130465.0,6.0,11.42911892078335
2003-01-01,14867.0,130573.0,5.8,11.385968002573273
2003-02-01,14780.0,130441.0,5.9,11.330793232189265
2003-03-01,14721.0,130235.0,5.9,11.303413061005106
2003-04-01,14608.0,130172.0,6.0,11.222075407921826
2003-05-01,14558.0,130196.0,6.1,11.181603121447663
2003-06-01,14493.0,130185.0,6.3,11.132618965318585
2003-07-01,14403.0,130184.0,6.2,11.06357156025318
2003-08-01,14376.0,130153.0,6.1,11.045461879480303
2003-09-01,14346.0,130253.0,6.1,11.013949774669298
2003-10-01,14334.0,130440.0,6.0,10.988960441582336
2003-11-01,14316.0,130481.0,5.8,10.971712356588316
2003-12-01,14299.0,130589.0,5.7,10.94962056528498
2004-01-01,14291.0,130756.0,5.7,10.929517574719325
2004-02-01,14279.0,130820.0,5.6,10.914997706772665
2004-03-01,14287.0,131139.0,5.8,10.894547007373854
2004-04-01,14315.0,131412.0,5.6,10.893221319209813
2004-05-01,14342.0,131697.0,5.6,10.890149357996005
2004-06-01,14334.0,131794.0,5.6,10.876064160735693
2004-07-01,14331.0,131853.0,5.5,10.868922208823463
2004-08-01,14345.0,131940.0,5.4,10.872366227072911
2004-09-01,14332.0,132091.0,5.4,10.85009576731193
2004-10-01,14332.0,132431.0,5.5,10.82223950585588
2004-11-01,14306.0,132504.0,5.4,10.796655195314859
2004-12-01,14285.0,132629.0,5.4,10.770645937163064
2005-01-01,14257.0,132781.0,5.3,10.737228971012419
2005-02-01,14272.0,133033.0,5.4,10.728165192095194
2005-03-01,14268.0,133152.0,5.2,10.715573179524153
2005-04-01,14249.0,133519.0,5.2,10.671889394018828
2005-05-01,14255.0,133689.0,5.1,10.662806962427725
2005-06-01,14227.0,133947.0,5.0,10.621365166819713
2005-07-01,14225.0,134300.0,5.0,10.591958302308264
2005-08-01,14200.0,134503.0,4.9,10.557385337130027
2005-09-01,14173.0,134554.0,5.0,10.533317478484475
2005-10-01,14189.0,134643.0,5.0,10.538238155715485
2005-11-01,14184.0,134999.0,5.0,10.506744494403662
2005-12-01,14189.0,135158.0,4.9,10.49808372423386
2006-01-01,14208.0,135426.0,4.7,10.491338443134996
2006-02-01,14208.0,135731.0,4.8,10.467763443870597
2006-03-01,14210.0,136036.0,4.7,10.44576435649387
2006-04-01,14223.0,136208.0,4.7,10.442117937272407
2006-05-01,14200.0,136249.0,4.6,10.422094841063053
2006-06-01,14210.0,136335.0,4.6,10.422855466314592
2006-07-01,14185.0,136529.0,4.7,10.389734049176365
2006-08-01,14154.0,136693.0,4.7,10.354590213105281
2006-09-01,14120.0,136829.0,4.5,10.319449824233166
2006-10-01,14068.0,136846.0,4.4,10.280168949037606
